epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1749.56,0.90319,0.98793,1.24001,0.86575,0.58836,0.7055,0.52712,0.89095,1.51397,1.32702,0.00012862,0.00012862,0.00012862
43,1788.99,0.93516,0.92581,1.23637,0.86451,0.61022,0.70585,0.52736,0.90592,1.5084,1.30432,0.00012562,0.00012562,0.00012562
44,1833.2,0.92726,1.03006,1.24043,0.69782,0.66373,0.70917,0.53671,0.84165,1.51225,1.2655,0.000122596,0.000122596,0.000122596
45,1872.48,0.87829,0.83113,1.18252,0.85496,0.56889,0.71008,0.52567,0.89039,1.54506,1.25398,0.000119551,0.000119551,0.000119551
46,1916.27,0.85208,0.81216,1.21082,0.62628,0.70633,0.73445,0.53559,0.88606,1.5915,1.2449,0.000116487,0.000116487,0.000116487
47,1954.17,0.79666,0.80751,1.14665,0.60533,0.72314,0.7392,0.53652,0.8687,1.55722,1.25524,0.000113408,0.000113408,0.000113408
48,1994.45,0.81109,0.81935,1.2168,0.76718,0.74227,0.72236,0.54053,0.8537,1.53834,1.22779,0.000110317,0.000110317,0.000110317
49,2033.93,0.8647,0.94705,1.21976,0.5827,0.74702,0.72472,0.5601,0.8701,1.47756,1.22269,0.000107216,0.000107216,0.000107216
50,2073.84,0.84347,0.89832,1.17045,0.76588,0.58751,0.72123,0.52416,0.83681,1.43767,1.23683,0.00010411,0.00010411,0.00010411
51,2112.82,0.91451,0.92046,1.26997,0.61807,0.69708,0.70098,0.5217,0.85154,1.45381,1.23001,0.000101,0.000101,0.000101
52,2155.38,0.87007,0.78348,1.20013,0.60902,0.69549,0.69685,0.52601,0.79847,1.47716,1.22593,9.78903e-05,9.78903e-05,9.78903e-05
53,2198.31,0.84789,0.77731,1.16772,0.74758,0.57692,0.69497,0.51361,0.80561,1.54693,1.23638,9.47837e-05,9.47837e-05,9.47837e-05
54,2240.06,0.78899,0.80719,1.11515,0.56292,0.66798,0.69927,0.51718,0.92844,1.53273,1.27904,9.16833e-05,9.16833e-05,9.16833e-05
55,2279.08,0.88413,0.82261,1.20185,0.69325,0.66346,0.70515,0.54895,0.81557,1.39643,1.23434,8.8592e-05,8.8592e-05,8.8592e-05
